hotel_id,hotel_name,review_id,guest_type,rating_10,title,stay_date,mentioned_attributes,text
"pendry_chicago","Pendry Chicago","pendry_chicago_001","local staycation guest","6","Good stay with trade-offs","Jun 2026","noiseLevel; breakfastQuality; valueForMoney","Our trip brought us to Pendry Chicago for two nights. We tried Chateau Carbide and the hotel restaurants, which made it convenient to stay close in the evening. Breakfast was better than expected and helped before a packed day. It was a nice stay, but the rate felt steep for what we received. The positives outweighed the drawbacks, but the hotel is not perfect."
"pendry_chicago","Pendry Chicago","pendry_chicago_002","friends on a weekend trip","8","Strong city stay","Feb 2026","roomComfort; noiseLevel; locationConvenience; serviceQuality","I stayed at Pendry Chicago during a weekend trip with friends. We used State/Lake station more than expected, and it helped with timing. We heard hallway doors and nearby nightlife more than expected. We could reach most plans without thinking too hard about transportation. The concierge and front desk made the stay feel well managed."
"pendry_chicago","Pendry Chicago","pendry_chicago_003","friends on a weekend trip","7","Stylish with caveats","Dec 2025","roomComfort; locationConvenience; valueForMoney; cleanliness","Our trip brought us to Pendry Chicago for two nights. Parking was useful, though it added to the planning. We slept well, and the linens made the room feel more upscale. Value was the main drawback, especially for a short stay. Housekeeping did a strong job; towels, counters and floors were consistently clean."
"pendry_chicago","Pendry Chicago","pendry_chicago_004","international tourist","7","Convenient but not perfect","Apr 2024","noiseLevel; locationConvenience; breakfastQuality; roomComfort","Our trip brought us to Pendry Chicago for two nights. The King Guestroom, 295 sq ft matched the listing and made a clear first impression. Street noise carried into the room late at night. Being close to transit saved time, especially when crossing town. Breakfast was a pleasant start, with enough options before heading out."
"pendry_chicago","Pendry Chicago","pendry_chicago_005","conference attendee","7","Stylish with caveats","Jan 2025","valueForMoney; breakfastQuality; serviceQuality; wifiReliability","I chose Pendry Chicago because I wanted to be in Chicago Loop. Being near State/Lake station made the first day easier. I liked the hotel, but I would compare prices carefully before booking again. The breakfast service was good, and coffee was easy to get in the morning. The front desk was warm and handled check-in quickly."
"pendry_chicago","Pendry Chicago","pendry_chicago_006","remote worker","7","Nice hotel, a few issues","Mar 2026","noiseLevel; cleanliness; locationConvenience; breakfastQuality","This was my first time staying at Pendry Chicago. The King Guestroom, 295 sq ft matched the listing and made a clear first impression. The neighborhood was convenient for food, shopping and quick rides. The breakfast service was good, and coffee was easy to get in the morning. The positives outweighed the drawbacks, but the hotel is not perfect."
"pendry_chicago","Pendry Chicago","pendry_chicago_007","couple","8","Easy choice for the neighborhood","Jan 2024","roomComfort; breakfastQuality","Our trip brought us to Pendry Chicago for two nights. Parking was useful, though it added to the planning. The bed was comfortable, and the room layout worked well for unpacking and relaxing. We liked having a real breakfast option on-site instead of searching early. Overall, I would stay again for the convenience and comfort."
"pendry_chicago","Pendry Chicago","pendry_chicago_008","conference attendee","7","Convenient but not perfect","Jun 2025","noiseLevel; wifiReliability","This was my first time staying at Pendry Chicago. We tried Chateau Carbide and the hotel restaurants, which made it convenient to stay close in the evening. Street noise carried into the room late at night. Wi-Fi stayed reliable during video calls and evening browsing. The positives outweighed the drawbacks, but the hotel is not perfect."
"pendry_chicago","Pendry Chicago","pendry_chicago_009","parents visiting a student","9","Great base in Chicago","May 2026","wifiReliability; serviceQuality","I stayed at Pendry Chicago during a visit with our student in Chicago. Being near State/Lake station made the first day easier. Wi-Fi stayed reliable during video calls and evening browsing. The front desk was warm and handled check-in quickly. For a city stay, the hotel worked very well."
"pendry_chicago","Pendry Chicago","pendry_chicago_010","couple","9","Comfortable and convenient","Jun 2026","locationConvenience; roomComfort","I chose Pendry Chicago because I wanted to be in Chicago Loop. The King Guestroom, 295 sq ft matched the listing and made a clear first impression. The neighborhood was convenient for food, shopping and quick rides. We slept well, and the linens made the room feel more upscale. It was an easy hotel to recommend for this kind of trip."
"pendry_chicago","Pendry Chicago","pendry_chicago_011","parents visiting a student","7","Worked well for this trip","Feb 2024","cleanliness; noiseLevel","I chose Pendry Chicago because I wanted to be in Chicago Loop. Housekeeping did a strong job; towels, counters and floors were consistently clean. Street noise carried into the room late at night. It worked for this trip, though a few details kept it from being excellent."
"pendry_chicago","Pendry Chicago","pendry_chicago_012","solo traveler","8","Polished stay","Apr 2024","roomComfort; breakfastQuality; serviceQuality","This was my first time staying at Pendry Chicago. Being near State/Lake station made the first day easier. The bed was comfortable, and the room layout worked well for unpacking and relaxing. We liked having a real breakfast option on-site instead of searching early. Service was polished without feeling stiff, especially at check-in."
"pendry_chicago","Pendry Chicago","pendry_chicago_013","parents visiting a student","7","Worked well for this trip","Jul 2025","noiseLevel; valueForMoney; roomComfort; serviceQuality","I chose Pendry Chicago because I wanted to be in Chicago Loop. The hotel details, including fitness center, terrace, games room, live music and four restaurants, gave the stay a polished feel. The location is fun, but the room was not as quiet as I hoped. The final price felt high once parking and extras were included. The bed was comfortable, and the room layout worked well for unpacking and relaxing."
